	patient	FDR
0	TCGA-CH-5746	0.0
1	TCGA-KK-A6E0	0.31313131313131315
2	TCGA-M7-A721	0.2
3	TCGA-V1-A9O5	0.42063492063492064
4	TCGA-HI-7171	0.3686131386861314
5	TCGA-KK-A6E4	0.3445378151260504
6	TCGA-HC-8264	0.13333333333333333
7	TCGA-2A-AAYU	0.2727272727272727
8	TCGA-EJ-5510	0.3125
9	TCGA-H9-A6BY	0.42857142857142855
10	TCGA-G9-7525	0.2962962962962963
11	TCGA-EJ-7793	0.0
12	TCGA-EJ-A8FN	0.36666666666666664
13	TCGA-V1-A9Z8	0.4
14	TCGA-EJ-5542	0.36666666666666664
15	TCGA-VN-A88O	0.5
16	TCGA-HC-A6AQ	0.5
17	TCGA-2A-A8W1	0.42105263157894735
18	TCGA-YL-A8SC	0.3619047619047619
19	TCGA-HC-7213	0.2818991097922849
20	TCGA-V1-A8MJ	0.25
21	TCGA-HC-A8D1	0.0
22	TCGA-KK-A8I9	0.5714285714285714
23	TCGA-CH-5768	0.27586206896551724
24	TCGA-ZG-A9L5	0.28035714285714286
25	TCGA-HC-7747	0.25
26	TCGA-HC-A6AS	0.5
27	TCGA-EJ-5519	0.4
28	TCGA-YL-A8SF	0.2542372881355932
29	TCGA-G9-6361	0.47368421052631576
30	TCGA-HC-7737	0.6875
31	TCGA-VP-A872	0.39361702127659576
32	TCGA-2A-AAYO	0.375
33	TCGA-J4-A83I	0.3974358974358974
34	TCGA-KC-A7F6	0.47058823529411764
35	TCGA-EJ-7781	0.2894736842105263
36	TCGA-CH-5739	0.1388888888888889
37	TCGA-CH-5794	0.25
38	TCGA-J4-A67T	0.4
39	TCGA-EJ-5518	0.36619718309859156
40	TCGA-EJ-7331	0.0
41	TCGA-EJ-7782	0.34615384615384615
42	TCGA-KK-A7B3	0.43478260869565216
43	TCGA-HC-7744	0.4489795918367347
44	TCGA-KC-A7F5	0.0
45	TCGA-G9-6332	0.34375
46	TCGA-J9-A8CP	0.2962962962962963
47	TCGA-ZG-A8QY	0.48148148148148145
48	TCGA-V1-A8X3	0.48717948717948717
49	TCGA-HC-7748	0.6
50	TCGA-G9-7519	0.6
51	TCGA-M7-A71Z	0.36363636363636365
52	TCGA-EJ-7789	0.4083333333333333
53	TCGA-HC-A6HY	0.24
54	TCGA-QU-A6IN	0.5142857142857142
55	TCGA-ZG-A9LZ	0.3805309734513274
56	TCGA-HC-A76X	0.0
57	TCGA-HC-A6AO	0.28205128205128205
58	TCGA-EJ-A7NH	0.32653061224489793
59	TCGA-EJ-7314	0.25
60	TCGA-HC-7231	0.25
61	TCGA-X4-A8KQ	0.3333333333333333
62	TCGA-KK-A59X	0.41818181818181815
63	TCGA-KK-A6E2	0.46153846153846156
64	TCGA-2A-A8VT	0.4365482233502538
65	TCGA-EJ-5509	0.2571428571428571
66	TCGA-G9-A9S4	0.5
67	TCGA-G9-6494	0.2692307692307692
68	TCGA-CH-5737	0.4782608695652174
69	TCGA-XK-AAIV	0.3844444444444444
70	TCGA-G9-6362	0.4
71	TCGA-HC-A48F	0.3667953667953668
72	TCGA-HC-7081	0.15384615384615385
73	TCGA-EJ-7115	0.2222222222222222
74	TCGA-KK-A7AQ	0.5
75	TCGA-VN-A88N	0.3076923076923077
76	TCGA-YL-A8SB	0.15517241379310345
