,patient,FDR,Rate
0,TCGA-KK-A6E0,0.2553191489361702,0.25
1,TCGA-M7-A721,0.0,0.25
2,TCGA-V1-A9O5,0.2368421052631578,0.25
3,TCGA-HI-7171,0.2361111111111111,0.25
4,TCGA-KK-A6E4,0.25,0.25
5,TCGA-HC-8264,0.6,0.25
6,TCGA-2A-AAYU,0.25,0.25
7,TCGA-EJ-5510,0.0,0.25
8,TCGA-H9-A6BY,0.0,0.25
9,TCGA-G9-7525,0.25,0.25
10,TCGA-EJ-A8FN,0.1666666666666666,0.25
11,TCGA-EJ-5542,0.0,0.25
12,TCGA-2A-A8W1,0.1666666666666666,0.25
13,TCGA-YL-A8SC,0.25,0.25
14,TCGA-HC-7213,0.1683168316831683,0.25
15,TCGA-V1-A8MJ,0.5,0.25
16,TCGA-KK-A8I9,0.2,0.25
17,TCGA-CH-5768,0.1,0.25
18,TCGA-ZG-A9L5,0.2426229508196721,0.25
19,TCGA-HC-A6AS,0.0909090909090909,0.25
20,TCGA-EJ-5519,0.0526315789473684,0.25
21,TCGA-YL-A8SF,0.1538461538461538,0.25
22,TCGA-G9-6361,0.25,0.25
23,TCGA-HC-7737,0.0,0.25
24,TCGA-VP-A872,0.2162162162162162,0.25
25,TCGA-J4-A83I,0.0769230769230769,0.25
26,TCGA-KC-A7F6,0.5,0.25
27,TCGA-EJ-7781,0.0,0.25
28,TCGA-CH-5739,0.1666666666666666,0.25
29,TCGA-CH-5794,0.1428571428571428,0.25
30,TCGA-EJ-5518,0.1428571428571428,0.25
31,TCGA-EJ-7782,0.3181818181818182,0.25
32,TCGA-KK-A7B3,0.0,0.25
33,TCGA-HC-7744,0.1666666666666666,0.25
34,TCGA-KC-A7F5,0.3333333333333333,0.25
35,TCGA-G9-6332,0.2,0.25
36,TCGA-J9-A8CP,0.125,0.25
37,TCGA-ZG-A8QY,0.0,0.25
38,TCGA-V1-A8X3,0.5,0.25
39,TCGA-HC-7748,0.0,0.25
40,TCGA-G9-7519,0.0,0.25
41,TCGA-M7-A71Z,0.2702702702702703,0.25
42,TCGA-EJ-7789,0.2545454545454545,0.25
43,TCGA-HC-A6HY,0.0769230769230769,0.25
44,TCGA-QU-A6IN,0.4,0.25
45,TCGA-ZG-A9LZ,0.198019801980198,0.25
46,TCGA-HC-A76X,0.0,0.25
47,TCGA-HC-A6AO,0.2571428571428571,0.25
48,TCGA-EJ-A7NH,0.0,0.25
49,TCGA-EJ-7314,0.2,0.25
50,TCGA-HC-7231,0.0,0.25
51,TCGA-X4-A8KQ,0.125,0.25
52,TCGA-KK-A59X,0.2941176470588235,0.25
53,TCGA-KK-A6E2,0.4,0.25
54,TCGA-2A-A8VT,0.2068965517241379,0.25
55,TCGA-EJ-5509,0.0,0.25
56,TCGA-G9-6494,0.0769230769230769,0.25
57,TCGA-CH-5737,0.1666666666666666,0.25
58,TCGA-XK-AAIV,0.1715976331360946,0.25
59,TCGA-G9-6362,0.3636363636363636,0.25
60,TCGA-HC-A48F,0.226950354609929,0.25
61,TCGA-HC-7081,0.0,0.25
62,TCGA-KK-A7AQ,0.0909090909090909,0.25
63,TCGA-VN-A88N,0.0,0.25
64,TCGA-YL-A8SB,0.0,0.25
65,TCGA-CH-5788,0.1138211382113821,0.25
66,TCGA-V1-A9O7,0.4285714285714285,0.25
67,TCGA-2A-A8W3,0.1428571428571428,0.25
68,TCGA-ZG-A9LY,0.0,0.25
69,TCGA-YL-A9WH,0.2169312169312169,0.25
70,TCGA-VN-A88P,0.1666666666666666,0.25
71,TCGA-KK-A59V,0.28,0.25
72,TCGA-KK-A8IB,0.1944444444444444,0.25
73,TCGA-EJ-A65D,0.3863636363636363,0.25
74,TCGA-ZG-A9LB,0.2262443438914027,0.25
75,TCGA-KK-A7AZ,0.073170731707317,0.25
76,TCGA-G9-6347,0.3333333333333333,0.25
77,TCGA-KK-A7AY,0.2941176470588235,0.25
78,TCGA-HC-7075,0.0,0.25
79,TCGA-YL-A8HO,0.375,0.25
80,TCGA-Y6-A9XI,0.25,0.25
81,TCGA-EJ-7794,0.0,0.25
82,TCGA-EJ-5504,0.0,0.25
83,TCGA-HI-7169,0.0,0.25
84,TCGA-V1-A9ZK,0.25,0.25
85,TCGA-G9-7523,0.4,0.25
86,TCGA-HC-8256,0.25,0.25
87,TCGA-EJ-5501,0.0,0.25
88,TCGA-M7-A725,0.2105263157894736,0.25
89,TCGA-EJ-7312,0.2162162162162162,0.25
90,TCGA-ZG-A8QX,0.125,0.25
91,TCGA-XK-AAJP,0.1724137931034483,0.25
92,TCGA-ZG-A9L1,0.1910828025477707,0.25
93,TCGA-EJ-5495,0.0,0.25
94,TCGA-G9-6348,0.5,0.25
95,TCGA-J9-A8CK,0.0,0.25
96,TCGA-XK-AAJR,0.0,0.25
97,TCGA-ZG-A9M4,0.1789473684210526,0.25
98,TCGA-CH-5767,0.16,0.25
99,TCGA-V1-A9O9,0.5,0.25
100,TCGA-V1-A9ZG,0.0,0.25
101,TCGA-J4-AATZ,0.2285714285714285,0.25
102,TCGA-ZG-A9MC,0.0,0.25
103,TCGA-YL-A8HJ,0.0,0.25
