,patient,FDR,Rate
0,TCGA-CH-5746,0.0,0.25
1,TCGA-KK-A6E0,0.1860465116279069,0.25
2,TCGA-M7-A721,0.0,0.25
3,TCGA-V1-A9O5,0.2673267326732673,0.25
4,TCGA-HI-7171,0.2227272727272727,0.25
5,TCGA-KK-A6E4,0.2788461538461538,0.25
6,TCGA-HC-8264,0.0714285714285714,0.25
7,TCGA-2A-AAYU,0.0588235294117647,0.25
8,TCGA-EJ-5510,0.2,0.25
9,TCGA-H9-A6BY,0.0,0.25
10,TCGA-G9-7525,0.2083333333333333,0.25
11,TCGA-EJ-7793,0.0,0.25
12,TCGA-EJ-A8FN,0.0952380952380952,0.25
13,TCGA-V1-A9Z8,0.2,0.25
14,TCGA-EJ-5542,0.1666666666666666,0.25
15,TCGA-VN-A88O,0.5,0.25
16,TCGA-HC-A6AQ,0.5,0.25
17,TCGA-2A-A8W1,0.14,0.25
18,TCGA-YL-A8SC,0.2272727272727272,0.25
19,TCGA-HC-7213,0.1821192052980132,0.25
20,TCGA-V1-A8MJ,0.2083333333333333,0.25
21,TCGA-HC-A8D1,0.0,0.25
22,TCGA-KK-A8I9,0.3333333333333333,0.25
23,TCGA-CH-5768,0.2,0.25
24,TCGA-ZG-A9L5,0.2123552123552123,0.25
25,TCGA-HC-7747,0.5714285714285714,0.25
26,TCGA-HC-A6AS,0.4848484848484848,0.25
27,TCGA-EJ-5519,0.2181818181818181,0.25
28,TCGA-YL-A8SF,0.2413793103448276,0.25
29,TCGA-G9-6361,0.2857142857142857,0.25
30,TCGA-HC-7737,0.1666666666666666,0.25
31,TCGA-VP-A872,0.2662337662337662,0.25
32,TCGA-2A-AAYO,0.0,0.25
33,TCGA-J4-A83I,0.1666666666666666,0.25
34,TCGA-KC-A7F6,0.3076923076923077,0.25
35,TCGA-EJ-7781,0.1764705882352941,0.25
36,TCGA-CH-5739,0.088235294117647,0.25
37,TCGA-CH-5794,0.2,0.25
38,TCGA-J4-A67T,0.4,0.25
39,TCGA-EJ-5518,0.2110091743119266,0.25
40,TCGA-EJ-7331,0.0,0.25
41,TCGA-EJ-7782,0.238095238095238,0.25
42,TCGA-KK-A7B3,0.2972972972972973,0.25
43,TCGA-HC-7744,0.2857142857142857,0.25
44,TCGA-KC-A7F5,0.5,0.25
45,TCGA-G9-6332,0.2903225806451613,0.25
46,TCGA-J9-A8CP,0.2244897959183673,0.25
47,TCGA-ZG-A8QY,0.1875,0.25
48,TCGA-V1-A8X3,0.24,0.25
49,TCGA-HC-7748,0.3333333333333333,0.25
50,TCGA-G9-7519,0.4,0.25
51,TCGA-M7-A71Z,0.3,0.25
52,TCGA-EJ-7789,0.2365591397849462,0.25
53,TCGA-HC-A6HY,0.2083333333333333,0.25
54,TCGA-QU-A6IN,0.3333333333333333,0.25
55,TCGA-ZG-A9LZ,0.2391304347826087,0.25
56,TCGA-HC-A76X,0.5,0.25
57,TCGA-HC-A6AO,0.2,0.25
58,TCGA-EJ-A7NH,0.0833333333333333,0.25
59,TCGA-EJ-7314,0.125,0.25
