	patient	FDR
0	TCGA-AA-3506	0.27530364372469635
1	TCGA-DM-A1D4	0.34497816593886466
2	TCGA-A6-5661	0.847457627118644
3	TCGA-G4-6298	0.3360323886639676
4	TCGA-AA-3712	0.32196162046908317
5	TCGA-DM-A1D0	0.38
6	TCGA-A6-6649	0.4976303317535545
7	TCGA-CK-4948	0.3106508875739645
8	TCGA-NH-A50T	0.37957610789980734
9	TCGA-D5-5541	0.3143939393939394
10	TCGA-AD-5900	0.4411764705882353
11	TCGA-A6-2672	0.8363636363636363
12	TCGA-F4-6807	0.39751552795031053
13	TCGA-DM-A282	0.2804878048780488
14	TCGA-G4-6314	0.3211920529801324
15	TCGA-NH-A50V	0.34108527131782945
16	TCGA-G4-6299	0.3385012919896641
17	TCGA-CM-5864	0.44601769911504424
18	TCGA-CM-6677	0.3746312684365782
19	TCGA-DM-A0X9	0.2716049382716049
20	TCGA-CM-5862	0.06957928802588997
21	TCGA-D5-6530	0.9285714285714286
22	TCGA-AA-3489	0.3723404255319149
23	TCGA-D5-6923	0.386046511627907
24	TCGA-CM-6169	0.38190954773869346
25	TCGA-CK-5913	0.609375
26	TCGA-AD-6548	0.3482142857142857
27	TCGA-QG-A5YV	0.4409937888198758
28	TCGA-AA-3492	1.0
29	TCGA-AZ-5407	0.24060150375939848
30	TCGA-CM-6172	0.3568627450980392
31	TCGA-D5-6924	0.44135802469135804
32	TCGA-D5-5538	0.3900709219858156
33	TCGA-AZ-4615	0.6470588235294118
34	TCGA-CM-5348	0.3875968992248062
35	TCGA-CA-6718	0.7279411764705882
36	TCGA-AA-3495	0.3006134969325153
37	TCGA-F4-6570	0.5978260869565217
38	TCGA-D5-6920	0.29411764705882354
39	TCGA-CM-5344	0.4322033898305085
40	TCGA-D5-6538	0.3902439024390244
41	TCGA-AA-3502	0.2328042328042328
42	TCGA-G4-6628	0.7411764705882353
43	TCGA-CM-6163	0.20865139949109415
44	TCGA-G4-6304	0.6666666666666666
45	TCGA-D5-6928	0.40384615384615385
46	TCGA-AA-A02Y	0.3482587064676617
47	TCGA-A6-5664	0.4375
48	TCGA-AZ-6603	0.24946695095948826
49	TCGA-G4-6310	0.2769607843137255
50	TCGA-QL-A97D	0.2803738317757009
51	TCGA-CM-6170	0.39748953974895396
52	TCGA-CA-5255	0.05397727272727273
53	TCGA-AZ-6601	0.8923076923076924
54	TCGA-3L-AA1B	0.2944606413994169
55	TCGA-A6-2684	0.36904761904761907
56	TCGA-SS-A7HO	0.3907563025210084
57	TCGA-CM-6161	0.27167630057803466
58	TCGA-AA-3660	0.3508771929824561
59	TCGA-AZ-4684	0.2993762993762994
60	TCGA-A6-2674	0.4040632054176072
61	TCGA-CM-6680	0.3
62	TCGA-CK-4951	0.9922480620155039
63	TCGA-CK-4952	0.35772357723577236
64	TCGA-DM-A0XD	0.3915094339622642
65	TCGA-AA-3685	0.2780952380952381
66	TCGA-A6-6140	0.3106060606060606
67	TCGA-A6-6137	0.43609022556390975
68	TCGA-CA-5797	0.04395604395604396
69	TCGA-NH-A50U	0.30828516377649323
70	TCGA-CA-6719	0.036011080332409975
71	TCGA-G4-6307	0.37965260545905705
72	TCGA-G4-6625	0.40192926045016075
73	TCGA-AZ-4323	0.4434782608695652
74	TCGA-CK-4950	0.25280898876404495
75	TCGA-DM-A28H	0.2669683257918552
76	TCGA-DM-A1D7	0.34328358208955223
77	TCGA-4T-AA8H	0.3213367609254499
78	TCGA-F4-6854	0.3668639053254438
79	TCGA-AA-3663	0.6985294117647058
80	TCGA-A6-2675	0.26765799256505574
81	TCGA-T9-A92H	0.42245989304812837
